,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,History,Adventure,Comedy,Documentary,Action,Mystery,Western,Fantasy,Drama,Music,Romance,Sport,Sci-Fi,War,Film-Noir,Family,Crime,Short,Biography,Animation,Horror,News,Thriller,Musical
Superman Returns,1.0,0.5332512315270935,0.5015479876160991,0.0,0.03926086956521739,0.028125,0.2630739650552382,0.1422634825439604,0.04566716915627427,0.0,0.4676813599525598,0.04976185544002012,0.8999999999999986,0.07299270072992702,0.5844155844155844,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quantum of Solace,1.0,0.49507389162561577,0.3065015479876161,0.01717391304347826,0.01708695652173913,0.0007046875,0.2213898834957427,0.19575513431205277,0.003080413564174014,0.023255813953488372,0.24550306384661,0.04761899818593848,0.9200000000000017,0.003007299270072993,0.6623376623376623,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirates of the Caribbean: Dead Man's Chest,1.0,0.3842364532019704,0.44582043343653255,0.02447826086956522,0.04347826086956522,0.0625,0.5562515499144494,0.3089405057170875,0.07382942761865607,0.046511627906976744,0.36192923502668517,0.053571379447276364,0.8999999999999986,0.03649635036496351,0.7402597402597402,0.07894736842105264,0.014326647564469915,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lone Ranger,1.0,0.5529556650246306,0.44272445820433437,0.02447826086956522,0.04347826086956522,0.0625,0.11740838991887352,0.10758161370941063,0.0696739908333714,0.023255813953488372,0.14034394149041313,0.05119042694274121,0.9699999999999989,0.014598540145985403,0.6363636363636364,0.07894736842105264,0.13753581661891118,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man of Steel,1.0,0.9014778325123153,0.42105263157894735,0.0,0.03252173913043478,0.0234375,0.38266828077688864,0.3246427449121443,0.031207650023601787,0.0,0.5010871713777427,0.053571379447276364,0.9699999999999989,0.021897810218978103,0.7272727272727273,0.07894736842105264,0.33810888252148996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Chronicles of Narnia: Prince Caspian,1.0,0.31650246305418717,0.44272445820433437,0.0034782608695652175,0.008739130434782609,0.034375,0.18621012806761597,0.08872093594411984,0.03456062613250499,0.09302325581395349,0.08638070764973316,0.053571379447276364,0.9200000000000017,0.0015766423357664234,0.6493506493506492,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Avengers,1.0,0.8645320197044335,0.5139318885448917,0.0,0.8260869565217391,0.040625,0.8195591397847342,0.5890840054706027,0.13353585187215447,0.06976744186046512,0.3401858074718324,0.052380903195008786,0.9600000000000009,0.15328467153284672,0.844155844155844,0.04520917678812417,0.3524355300859599,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pirates of the Caribbean: On Stranger Tides,1.0,0.5504926108374384,0.39938080495356043,0.010956521739130436,0.04347826086956522,0.0625,0.3169781866916616,0.21937980504912238,0.0823519559027302,0.09302325581395349,0.09547341371812612,0.05952376070861425,0.9499999999999993,0.08029197080291971,0.6623376623376623,0.07894736842105264,0.166189111747851,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men in Black 3,1.0,0.5541871921182265,0.3065015479876161,0.00817391304347826,0.03121739130434783,0.015625,0.2353969148830229,0.15869067719124444,0.01914333135382882,0.023255813953488372,0.06720695789681756,0.053571379447276364,0.9600000000000009,0.005956204379562044,0.6753246753246752,0.04520917678812417,0.11461318051575932,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hobbit: The Battle of the Five Armies,1.0,0.5184729064039408,0.4860681114551083,0.0,0.03360869565217391,0.0078125,0.33544549768881743,0.20962930216675868,0.013935711784142647,0.0,0.1583316861039731,0.05952376070861425,0.9800000000000004,0.007094890510948905,0.7662337662337662,0.07894736842105264,0.1862464183381089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Amazing Spider-Man,1.0,0.7364532019704433,0.4520123839009288,0.02017391304347826,0.041869565217391304,0.0234375,0.3445477215597672,0.26737422318804044,0.04338008009379806,0.0,0.2419450484285432,0.05476185569954394,0.9600000000000009,0.07299270072992702,0.7012987012987012,0.07894736842105264,0.16045845272206305,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Hood,1.0,0.4211822660098522,0.4613003095975232,0.0,0.03208695652173913,0.0013921875,0.13835474878797258,0.12531964617439528,0.004939625112298814,0.0,0.10772880015813402,0.04761899818593848,0.9400000000000013,0.006437956204379563,0.6623376623376623,0.07894736842105264,0.04871060171919771,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hobbit: The Desolation of Smaug,1.0,0.625615763546798,0.5541795665634675,0.0,0.03360869565217391,0.0078125,0.33971500423432077,0.28615619150423227,0.013935711784142647,0.13953488372093023,0.18778414706463728,0.053571379447276364,0.9699999999999989,0.007094890510948905,0.8181818181818182,0.07894736842105264,0.2378223495702006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Golden Compass,1.0,0.30788177339901474,0.3281733746130031,0.005608695652173913,0.04347826086956522,0.025,0.09215362670168599,0.08818654021076378,0.03670610448738447,0.046511627906976744,0.13144890294524608,0.04285709317686817,0.9100000000000001,0.043795620437956206,0.5844155844155844,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King Kong,1.0,0.5480295566502463,0.6006191950464397,0.0,0.0036521739130434784,0.009375,0.28671856410909013,0.18701661006096135,0.010846162045284973,0.0,0.5172959082822692,0.049285664939113086,0.8900000000000006,0.006708029197080292,0.7272727272727273,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Titanic,1.0,0.38669950738916253,0.5789473684210527,0.0,0.034521739130434784,0.045312500000000006,0.8660975887379461,0.46932964996783566,0.06886087128652567,0.0,0.4995058311919352,0.04761899818593848,0.8099999999999987,0.10218978102189781,0.7922077922077921,0.07894736842105264,0.07449856733524356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Captain America: Civil War,1.0,0.6342364532019704,0.43343653250773995,0.00408695652173913,0.4782608695652174,0.0328125,0.535429422858292,0.16136324765839388,0.09866764119196626,0.0,0.2018185412136786,0.05952376070861425,1.0,0.1386861313868613,0.8571428571428571,0.07894736842105264,0.20630372492836677,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battleship,1.0,0.4630541871921182,0.38390092879256965,0.0231304347826087,0.027260869565217394,0.021875000000000002,0.0856969241459385,0.11976678331051943,0.04062400073089398,0.0,0.1482506424194505,0.04976185544002012,0.9600000000000009,0.07299270072992702,0.5584415584415584,0.07894736842105264,0.12607449856733524,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jurassic World,1.0,0.791871921182266,0.36222910216718274,0.015869565217391305,0.04347826086956522,0.0046875,0.8575571778927595,0.24749624058815486,0.012878960912399312,0.0,0.2547934374382289,0.03571423566326271,0.990000000000002,0.014598540145985403,0.7012987012987012,0.05533063427800271,0.42979942693409745,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Skyfall,1.0,0.9224137931034483,0.42105263157894735,0.0,0.01708695652173913,0.0013796875,0.4002075474294449,0.3089345877133958,0.0031047766966637736,0.0,0.2959082822692232,0.04761899818593848,0.9600000000000009,0.0041094890510948905,0.8051948051948051,0.07894736842105264,0.22922636103151864,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Spider-Man 2,1.0,0.36822660098522164,0.39628482972136225,0.0,0.1739130434782609,0.0375,0.4909598157704765,0.24332404798554114,0.06606672452910634,0.023255813953488372,0.2573631152401661,0.04761899818593848,0.879999999999999,0.08029197080291971,0.7402597402597402,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iron Man 3,1.0,0.7475369458128078,0.5820433436532508,0.04347826086956522,0.13043478260869565,0.0328125,0.5377896813486673,0.32991923700362,0.04632954182083962,0.06976744186046512,0.2344336825459577,0.04761899818593848,0.9699999999999989,0.029197080291970805,0.7272727272727273,0.07894736842105264,0.2722063037249284,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,1.0,0.5541871921182265,0.31269349845201244,0.5652173913043479,0.4782608695652174,0.0625,0.4394247808943072,0.1812773300807985,0.12175018653023313,0.0,0.14528562957106148,0.04761899818593848,0.9400000000000013,0.18248175182481752,0.6363636363636364,0.04520917678812417,0.06876790830945559,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X-Men: The Last Stand,1.0,0.41009852216748766,0.30030959752321984,0.018260869565217393,0.024347826086956525,0.03125,0.3081631822384076,0.22690928114600958,0.033063816180165365,0.0,0.3777426368847599,0.04999995069047363,0.8999999999999986,0.005897810218978102,0.6753246753246752,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Monsters University,1.0,0.46182266009852213,0.30030959752321984,0.0016086956521739132,0.03304347826086957,0.01875,0.35303900062232935,0.13908492276117482,0.022631827387206312,0.0,0.052184226131646576,0.04761899818593848,0.9699999999999989,0.005686131386861314,0.7402597402597402,0.04520917678812417,0.12607449856733524,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Transformers: Revenge of the Fallen,1.0,0.44950738916256155,0.44272445820433437,0.0,0.02017391304347826,0.0013968750000000001,0.5286962805544313,0.19127106291488905,0.004900035022002955,0.0,0.2842458983988931,0.04761899818593848,0.9299999999999997,0.0042408759124087595,0.5714285714285714,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformers: Age of Extinction,1.0,0.46428571428571425,0.4891640866873065,0.0,0.035130434782608695,0.001521875,0.32271681834962224,0.1434612864911505,0.006072510773072648,0.046511627906976744,0.18126111879818146,0.04999995069047363,0.9800000000000004,0.006978102189781022,0.5324675324675324,0.07894736842105264,0.16045845272206305,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz the Great and Powerful,1.0,0.645320197044335,0.3808049535603716,0.0,0.4782608695652174,0.06875,0.3088772623704976,0.10380415195302999,0.11182830082377843,0.09302325581395349,0.10081043684522634,0.05119042694274121,0.9699999999999989,0.10948905109489052,0.6233766233766234,0.07894736842105264,0.17191977077363899,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Amazing Spider-Man 2,1.0,0.6083743842364532,0.4179566563467493,0.02017391304347826,0.035869565217391305,0.0234375,0.2667353775271253,0.1900992981839422,0.04359630289464468,0.0,0.2107135797588456,0.04761899818593848,0.9800000000000004,0.07299270072992702,0.6623376623376623,0.07894736842105264,0.1174785100286533,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRON: Legacy,1.0,0.5763546798029556,0.3653250773993808,0.01582608695652174,0.04347826086956522,0.01875,0.22623318719833108,0.15634063792528993,0.0389048771945853,0.0,0.13125123542202016,0.040476140672333016,0.9400000000000013,0.07299270072992702,0.6753246753246752,0.07894736842105264,0.08595988538681949,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cars 2,1.0,0.37315270935960587,0.3065015479876161,0.02117391304347826,0.03373913043478261,0.0015625,0.2517413305069508,0.059874218749537654,0.006824722488693985,0.0,0.055742241549713384,0.04761899818593848,0.9499999999999993,0.006708029197080292,0.6103896103896104,0.07894736842105264,0.02865329512893983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Green Lantern,1.0,0.5357142857142857,0.35913312693498456,0.011217391304347827,0.014173913043478262,0.025,0.15330987170727067,0.13220110086704673,0.02688623939823063,0.046511627906976744,0.10851947025103777,0.04761899818593848,0.9499999999999993,0.002686131386861314,0.5194805194805194,0.07894736842105264,0.06876790830945559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toy Story 3,1.0,0.5566502463054187,0.29721362229102166,0.005434782608695653,0.03134782608695652,0.0234375,0.5456689452623881,0.32245959335029434,0.029060648972941697,0.06976744186046512,0.14469262700138366,0.04761899818593848,0.9400000000000013,0.007299270072992701,0.8701298701298702,0.04520917678812417,0.08595988538681949,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Terminator Salvation,1.0,0.5184729064039408,0.3436532507739938,0.016,0.042956521739130435,0.035937500000000004,0.164784883889461,0.16930816761443496,0.04182540770179526,0.0,0.19233050009883376,0.04761899818593848,0.9299999999999997,0.021897810218978103,0.6493506493506492,0.07894736842105264,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furious 7,1.0,0.520935960591133,0.4117647058823529,0.0,0.6086956521739131,0.040625,0.4602647355621017,0.16465484131169,0.12052137103528086,0.0,0.1296698952362127,0.04523804568140333,0.990000000000002,0.16788321167883213,0.7272727272727273,0.07894736842105264,0.2693409742120344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
World War Z,1.0,0.8041871921182265,0.35913312693498456,0.01717391304347826,0.04347826086956522,0.026562500000000003,0.2660748670143077,0.275195456866926,0.049323161725518865,0.0,0.19648151808657838,0.04523804568140333,0.9699999999999989,0.08029197080291971,0.7012987012987012,0.07894736842105264,0.3696275071633238,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
X-Men: Days of Future Past,1.0,0.6625615763546798,0.4396284829721363,0.0,0.8695652173913044,0.053125000000000006,0.3075780084405286,0.3042564057951459,0.13922616600429402,0.16279069767441862,0.1484483099426764,0.04761899818593848,0.9800000000000004,0.16058394160583941,0.8311688311688311,0.07894736842105264,0.2349570200573066,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Star Trek Into Darkness,1.0,0.7253694581280788,0.38699690402476783,0.6086956521739131,0.04034782608695652,0.029687500000000002,0.300794687682052,0.2340972884298885,0.03260243935864054,0.0,0.23127100217434277,0.04523804568140333,0.9699999999999989,0.00716058394160584,0.8051948051948051,0.07894736842105264,0.26361031518624645,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack the Giant Slayer,1.0,0.4150246305418719,0.3312693498452013,0.0,0.006086956521739131,0.0015296875,0.08569521475700737,0.0629740690832243,0.002689080748557246,0.023255813953488372,0.04032417473809054,0.046428521933670905,0.9699999999999989,0.004065693430656934,0.6103896103896104,0.07894736842105264,0.06303724928366762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,1.0,0.6022167487684729,0.42105263157894735,0.04347826086956522,0.0033478260869565218,0.045312500000000006,0.1904162412671511,0.21476849657258815,0.04533065338875946,0.09302325581395349,0.14864597746590236,0.024999949392854517,0.9699999999999989,0.0037153284671532848,0.7402597402597402,0.07894736842105264,0.32951289398280803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prince of Persia: The Sands of Time,1.0,0.375615763546798,0.33746130030959753,0.007782608695652175,0.010260869565217393,0.0234375,0.11933570358517438,0.1316152185015733,0.02459001416107076,0.046511627906976744,0.08934572049812216,0.04761899818593848,0.9400000000000013,0.004138686131386861,0.6493506493506492,0.07894736842105264,0.06590257879656161,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific Rim,1.0,0.7068965517241379,0.38390092879256965,0.0,0.03995652173913044,0.025,0.13383899950728181,0.22556056810468236,0.029183987331171106,0.0,0.21842261316465705,0.04523804568140333,0.9699999999999989,0.007065693430656934,0.7012987012987012,0.04520917678812417,0.2378223495702006,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformers: Dark of the Moon,1.0,0.5258620689655172,0.45510835913312697,0.0,0.025260869565217392,0.0013968750000000001,0.4633214766829784,0.1930304854124168,0.0039483501591217095,0.046511627906976744,0.17750543585688872,0.046428521933670905,0.9499999999999993,0.006051094890510949,0.6103896103896104,0.07894736842105264,0.13180515759312322,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Jones and the Kingdom of the Crystal Skull,1.0,0.5775862068965517,0.3560371517027864,0.6086956521739131,0.04347826086956522,0.0171875,0.41684231722738535,0.1975678188428054,0.022778006182144872,0.046511627906976744,0.4058114251828425,0.04404756942913575,0.9200000000000017,0.007299270072992701,0.5974025974025974,0.07894736842105264,0.014326647564469915,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Good Dinosaur,1.0,0.3657635467980295,0.2662538699690402,0.00491304347826087,0.00491304347826087,0.0004296875,0.1618267666204231,0.037183408995010526,0.0010597962633045544,0.0,0.0679976279897213,0.004714234054215005,0.990000000000002,0.0010948905109489052,0.6753246753246752,0.07894736842105264,0.05730659025787966,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
